"day","susceptibles","percentage_infected"
1,4356406,2.38723198156322e-05
2,4356293.5440989,2.18390605481272e-05
3,4356190.99728751,2.36814917853223e-05
4,4356088.76811393,2.78500912193237e-05
5,4355980.51451657,3.35373448228479e-05
6,4355955.47057854,3.85195927835143e-05
7,4355929.41088532,4.14383098745317e-05
8,4355903.08285551,4.29309008723167e-05
9,4355876.99326995,4.34373515971177e-05
10,4355851.47965361,4.32633550377256e-05
11,4355826.76100444,4.26226128477487e-05
12,4355802.97351107,4.16653566941262e-05
13,4355780.19571733,4.04977450747245e-05
14,4355758.46623787,3.91951345137896e-05
15,4355737.79622975,3.78112237237433e-05
16,4355718.17815459,3.63843833769488e-05
17,4355699.59194077,3.49420739039143e-05
18,4355682.00929186,3.3503931545473e-05
19,4355665.39673991,3.20839702241417e-05
20,4355649.71773377,3.06921108635615e-05
21,4355634.93412871,2.93352989079328e-05
22,4355621.00719896,2.8018293521669e-05
23,4355607.89832681,2.67442316701758e-05
24,4355595.56951234,2.55150715064754e-05
25,4355583.98364024,2.43318609037481e-05
26,4355573.10470904,2.31949787551601e-05
27,4355562.89797688,2.21043159185856e-05
28,4355553.3300045,2.1059379731962e-05
29,4355544.3687084,2.00594023476094e-05
30,4355535.98336316,1.91034094847052e-05
31,4355528.14458523,1.81902714826388e-05
32,4355520.82431642,1.73187512951922e-05
33,4355513.99579003,1.64875375824795e-05
34,4355507.63349093,1.56952684887898e-05
35,4355501.71311511,1.49405530380211e-05
36,4355496.21152765,1.42219882770396e-05
37,4355491.10671619,1.35381709941029e-05
38,4355486.37774663,1.28877083292744e-05
39,4355482.00471926,1.22692254551865e-05
40,4355477.96872396,1.16813720359548e-05
41,4355474.25179723,1.11228270515089e-05
42,4355470.93728545,1.05908935422358e-05
43,4355468.06677992,1.00793248618466e-05
44,4355465.57580642,9.58475905994556e-06
45,4355463.41537321,9.1064370005869e-06
46,4355461.54731516,8.64480686059179e-06
47,4355459.94113346,8.20074650093271e-06
48,4355458.57183548,7.77514939620631e-06
49,4355457.41845471,7.36872451276044e-06
50,4355456.46303083,6.9819180034396e-06
51,4355455.68989985,6.61490105611393e-06
52,4355455.08519511,6.26759182458346e-06
53,4355454.63649348,5.93969290665355e-06
54,4355454.33255953,5.63073270577325e-06
55,4355454.16315559,5.34010559210215e-06
56,4355454.11890102,5.06710845558965e-06
57,4355454.19116185,4.81097179261709e-06
58,4355454.37196641,4.5708856899375e-06
59,4355454.65393453,4.34602057894811e-06
60,4355455.03022028,4.13554373351723e-06
61,4355455.49446388,3.93863211844762e-06
62,4355456.04074964,3.75448173708085e-06
63,4355456.66356974,3.5823146336612e-06
64,4355457.35779202,3.42138367981487e-06
65,4355458.11863113,3.27097564976638e-06
66,4355458.94162268,3.13041309079736e-06
67,4355459.82259972,2.99905507126847e-06
68,4355460.75767116,2.87629725001086e-06
69,4355461.74320237,2.76157127399427e-06
70,4355462.77579707,2.65434381922784e-06
71,4355463.85228076,2.55411532885941e-06
72,4355464.96968523,2.46041853029127e-06
73,4355466.12523543,2.37281696440971e-06
74,4355467.31633436,2.29090307506174e-06
75,4355468.54055304,2.21429682422079e-06
76,4355469.79561834,2.14264387439729e-06
77,4355471.07940319,2.0756140857038e-06
78,4355472.38991662,2.01289995422543e-06
79,4355473.72529395,1.95421493213378e-06
80,4355475.0837892,1.8992921111792e-06
81,4355476.46376679,1.84788279954858e-06
82,4355477.86369719,1.79975576226919e-06
83,4355479.28214495,1.75469512085038e-06
84,4355480.71776707,1.71250004691435e-06
85,4355482.16930479,1.67298329516778e-06
86,4355483.63557804,1.63597022069876e-06
87,4355485.11548258,1.60129828256701e-06
88,4355486.6079823,1.56881568455156e-06
89,4355488.11210693,1.53838097204935e-06
90,4355489.62694712,1.50986216297062e-06
91,4355491.15165147,1.48313626083176e-06
92,4355492.68541891,1.45808791218217e-06
93,4355494.22750007,1.43460968112441e-06
94,4355495.77719402,1.41260149691184e-06
95,4355497.33384285,1.39196971923115e-06
96,4355498.89682986,1.37262685600713e-06
97,4355500.46557684,1.3544911211056e-06
98,4355502.03954184,1.33748607184353e-06
99,4355503.61821672,1.32154021950743e-06
100,4355505.2011254,1.30658674734277e-06
101,4355506.78782147,1.2925631337263e-06
102,4355508.37788658,1.2794109069531e-06
103,4355509.97092838,1.26707531394278e-06
104,4355511.56657939,1.25550513827907e-06
105,4355513.16449493,1.24465238641072e-06
106,4355514.7643522,1.23447218277293e-06
107,4355516.3658484,1.22492246927787e-06
108,4355517.96870002,1.21596395040516e-06
109,4355519.57264115,1.20755979929661e-06
110,4355521.17742281,1.19967548024972e-06
111,4355522.78281146,1.19227856348335e-06
112,4355524.38858876,1.18533871148456e-06
113,4355525.99454956,1.17882737927182e-06
114,4355527.60050208,1.17271818116554e-06
115,4355529.20626662,1.16698611910452e-06
116,4355530.81167475,1.16160775198795e-06
117,4355532.41656915,1.15656123726571e-06
118,4355534.02080217,1.15182598608363e-06
119,4355535.62423553,1.14738271766012e-06
120,4355537.22673978,1.14321335590382e-06
121,4355538.82819386,1.13930095647337e-06
122,4355540.42848462,1.13562964429825e-06
123,4355542.02750596,1.13218450596094e-06
124,4355543.62515872,1.12895156830669e-06
125,4355545.22135018,1.12591772475425e-06
126,4355546.81599347,1.1230706574322e-06
127,4355548.40900736,1.12039881124958e-06
128,4355550.00031659,1.11789143395826e-06
129,4355551.58984977,1.11553829628867e-06
130,4355553.17754157,1.11332998087018e-06
131,4355554.76333121,1.11125768759492e-06
132,4355556.34715993,1.10931287671484e-06
133,4355557.92897435,1.10748773791416e-06
134,4355559.50872402,1.10577485115412e-06
135,4355561.08636258,1.1041673453942e-06
136,4355562.66184615,1.10265868230827e-06
137,4355564.2351344,1.10124280101402e-06
138,4355565.80618978,1.09991401003237e-06
139,4355567.37497668,1.09866688099988e-06
140,4355568.94146272,1.09749641384714e-06
141,4355570.50561796,1.09639794152938e-06
142,4355572.06741463,1.09536708208293e-06
143,4355573.62682694,1.09439972106349e-06
144,4355575.18383076,1.09349196272719e-06
145,4355576.73840322,1.09264008335426e-06
146,4355578.29052254,1.09184050074799e-06
147,4355579.84016861,1.09108980166529e-06
148,4355581.38732549,1.09038514165352e-06
149,4355582.93197721,1.08972385736945e-06
150,4355584.47410846,1.0891031920625e-06
151,4355586.01370561,1.08852063362921e-06
152,4355587.5507564,1.08797390053667e-06
153,4355589.08524943,1.08746080990019e-06
154,4355590.61717413,1.08697926836822e-06
155,4355592.14652094,1.08652732022861e-06
156,4355593.6732812,1.08610313988701e-06
157,4355595.19744708,1.08570500791298e-06
158,4355596.71901163,1.08533133179504e-06
159,4355598.23796857,1.08498060684006e-06
160,4355599.75431237,1.08465143469893e-06
161,4355601.26803806,1.08434248457115e-06
162,4355602.77914141,1.08405252701807e-06
163,4355604.28761854,1.0837803808803e-06
164,4355605.7934663,1.08352496136077e-06
165,4355607.29668173,1.08328520943904e-06
166,4355608.79726276,1.08306018603257e-06
167,4355610.29520766,1.08284899642491e-06
168,4355611.79051466,1.08265074708694e-06
169,4355613.28318308,1.08246468506622e-06
170,4355614.77321229,1.08229006859173e-06
171,4355616.26060162,1.08212615068601e-06
172,4355617.74535141,1.08197231925461e-06
173,4355619.2274619,1.08182795145592e-06
174,4355620.70693342,1.08169243439605e-06
175,4355622.18376706,1.08156526020685e-06
176,4355623.65796379,1.08144590613979e-06
