"day","susceptibles","percentage_infected"
1,4356406,2.38723198156322e-05
2,4356293.54413752,2.18381180537993e-05
3,4356190.99784498,2.36749285769316e-05
4,4356088.77068078,2.78306691851447e-05
5,4355980.52174431,3.34966899848376e-05
6,4355861.7071461,4.02863033654923e-05
7,4355728.71562304,4.80536488181484e-05
8,4355586.42451491,5.66331337631804e-05
9,4355425.072315,6.59906309819899e-05
10,4355242.35064096,7.62903908324309e-05
11,4355035.61371026,8.77005335589635e-05
12,4354801.85672879,0.000100398966397371
13,4354537.6837619,0.000114577901636209
14,4354239.26782247,0.000130447663969718
15,4353902.30319258,0.000148240258302384
16,4353521.9522141,0.000168212788046606
17,4353092.78546603,0.000190650997894853
18,4352608.71552527,0.000215872971219479
19,4352062.92530345,0.000244232999291377
20,4351597.26626431,0.000273218792173302
21,4351081.77526826,0.000301207857165753
22,4350517.05119261,0.000329437481030878
23,4349902.0584747,0.000358714862162006
24,4349234.65461449,0.000389592875360688
25,4348511.91528738,0.000422475550352945
26,4347730.33177464,0.00045768150462524
27,4346885.92938231,0.000495481972402055
28,4345974.33831939,0.000536123790602182
29,4344990.83541586,0.00057984316465366
30,4343930.36925741,0.000626873753344738
31,4342787.57056822,0.000677451663773586
32,4341556.76299744,0.000731818253968498
33,4340717.25885666,0.000780686283852515
34,4339833.31449807,0.000818352101039922
35,4338915.47900991,0.000848849143949261
36,4337970.71645546,0.00087473161328697
37,4337003.65028601,0.000897619079390119
38,4336017.37637846,0.000918539448580233
39,4335013.99401961,0.000938145385838622
40,4333994.9528213,0.000956851166380686
41,4332961.27940367,0.000974919376926718
42,4331922.97087261,0.000992386717712704
43,4330886.79494591,0.00100888085480391
44,4329849.82097222,0.0010242159483846
45,4328810.17871761,0.00103840091069326
46,4327766.69075303,0.00105153642801579
47,4326718.63387597,0.00106375772483161
48,4325665.58419373,0.00107520414321501
49,4324607.31645632,0.00108600416631186
50,4323543.73822891,0.00109626906212619
51,4322474.84688128,0.00110609128427534
52,4321400.70134966,0.00111554530165316
53,4320321.40338176,0.00112468952241607
54,4319237.08510318,0.00113356863396761
55,4318147.90076027,0.00114221594392955
56,4317054.02077801,0.00115065545920258
57,4315955.62791053,0.00115890380462758
58,4314852.91437254,0.00116697180322379
59,4313746.07975538,0.00117486578586773
60,4312635.32951164,0.00118258868973453
61,4311520.87370202,0.00119014092544818
62,4310402.92606117,0.00119752106458384
63,4309281.70321492,0.00120472638353232
64,4308157.42392914,0.00121175332987552
65,4307030.3085549,0.00121859783823005
66,4305900.57849502,0.00122525559865777
67,4304768.45580455,0.00123172221531805
68,4303634.16262661,0.00123799341744767
69,4302497.92088275,0.00124406512809964
70,4301359.95190663,0.00124993354558035
71,4300220.47610895,0.00125559520000025
72,4299079.71262242,0.00126104699623023
