"day","susceptibles","percentage_infected"
1,4356406,2.38723198156322e-05
2,4356291.89510112,2.18649551669045e-05
3,4356184.18736934,2.38402762428017e-05
4,4356070.76565451,2.83854337701128e-05
5,4355943.20679934,3.48564390772209e-05
6,4355794.79332881,4.30376845300171e-05
7,4355619.35485443,5.29626139844162e-05
8,4355410.55398582,6.48219710951682e-05
9,4355161.40514981,7.89199164348399e-05
10,4354863.90707957,9.56566785819177e-05
11,4354508.72041639,0.000115526370246542
12,4354084.85131791,0.000139123958451821
13,4353579.31417234,0.000167158404563901
14,4352976.75680484,0.000200470592397156
15,4352259.03990172,0.000240055259603379
16,4351404.75835314,0.000287086851496756
17,4350388.69979168,0.000342949376307998
18,4349181.23773438,0.000409270186682953
19,4347747.65769279,0.000487957805546981
20,4346047.42457963,0.000581243286685121
21,4344033.40381981,0.000691724636243409
22,4341651.06043471,0.000822412901704526
23,4338837.67620464,0.000976778243870844
24,4335521.64212032,0.00115879239962668
25,4331621.91251124,0.00137296241659447
26,4327047.73423721,0.00162435102385317
27,4321698.79932395,0.00191857433737643
28,4315465.99747905,0.00226176314197231
29,4308232.97164663,0.00266047993806211
30,4299878.75644595,0.00312157088171553
31,4290281.60957737,0.00365194094027226
32,4279324.29028652,0.00425823401663041
33,4266900.75756443,0.00494641064362729
34,4252924.14468402,0.00572122164277485
35,4237335.63643452,0.00658558842861853
36,4220113.4161867,0.00753993137408441
37,4201281.05671913,0.00858147208056666
38,4180913.36374934,0.0097036486943123
39,4159139.37638344,0.0108956692142965
40,4136140.91350129,0.0121423415667156
41,4112146.49435977,0.0134242552810794
42,4087501.07001769,0.014717206709731
43,4062539.14116121,0.0159913487855198
44,4037516.77012584,0.0172175786456275
45,4012690.49466713,0.0183689059431779
46,3988299.3901456,0.0194209586811186
47,3964552.61036602,0.0203527959482154
48,3941622.00857401,0.0211476957836331
49,3919639.19419555,0.0217937178813741
50,3898696.18978787,0.0222839513850179
51,3878848.66439713,0.0226164365576278
52,3860120.77957066,0.0227937929230088
53,3842510.80599097,0.0228226196399899
54,3825996.77215237,0.0227127647703806
55,3810541.72069521,0.0224765295619127
56,3796098.31171665,0.0221278789764498
57,3782612.64107938,0.0216817112046517
58,3770027.29380248,0.0211532160615736
59,3758283.66623091,0.0205573427969694
60,3747323.6737793,0.0199083849707115
61,3737090.9347843,0.0192196758842653
62,3727531.60063708,0.018503373425637
63,3718594.7884881,0.0177703525307089
64,3710232.84258717,0.0170301521025006
65,3702401.40927125,0.0162909818217253
66,3695059.40197953,0.0155597726824168
67,3688168.88589852,0.0148422561159002
68,3681694.91306975,0.0141430632561176
69,3675605.33074916,0.0134658308498738
70,3669870.58547265,0.0128133180273438
71,3664463.50902131,0.0121875204522718
72,3659359.13768457,0.0115897694480749
73,3654534.50824794,0.0110208424494396
74,3649968.48557532,0.0104810515040182
75,3645641.59026077,0.00997033053560007
76,3641535.86565357,0.00948830034342672
77,3637634.72044396,0.00903434357870025
78,3633922.80921394,0.00860765982601024
79,3630385.91281225,0.00820730932947146
80,3627010.8442282,0.00783224868879662
81,3623785.35280263,0.00748137318925295
82,3620698.04079933,0.00715354418774794
83,3617738.28087298,0.00684760724666196
84,3614896.14468681,0.00656241113205487
85,3612162.34966807,0.0062968246283497
86,3609528.19470237,0.00604974537804874
87,3606985.51513304,0.0058201094411947
88,3604526.61593751,0.00560689514572116
89,3602144.24515297,0.00540912839282797
90,3599831.54460534,0.00522588460376582
91,3597582.04414095,0.00505629263237806
