"day","susceptibles","percentage_infected"
1,4356406,2.38723198156322e-05
2,4356293.54413752,2.18381180537993e-05
3,4356190.99784498,2.36749285769316e-05
4,4356088.77068078,2.78306691851447e-05
5,4355980.52174431,3.34966899848376e-05
6,4355861.7071461,4.02863033654923e-05
7,4355728.71560928,4.80536495601387e-05
8,4355580.96592247,5.67414592158704e-05
9,4355413.39932243,6.63861359606794e-05
10,4355223.11741939,7.71230675588668e-05
11,4355006.95658248,8.91160612422073e-05
12,4354761.40332079,0.000102553755259541
13,4354482.52388023,0.000117649421445157
14,4354165.89405231,0.000134642139302509
15,4353806.52978377,0.000153799578668629
16,4353398.81398602,0.000175421243836965
17,4352936.41767784,0.000199842465176425
18,4352412.21427377,0.000227438817385719
19,4351818.18892328,0.000258630932538057
20,4351305.25502106,0.000290782473882841
21,4350734.56052946,0.000322188213036541
22,4350106.12589777,0.000354191704962663
23,4349418.13304138,0.000387683181170657
24,4348667.50212779,0.000423287237414016
25,4347850.24056217,0.0004614752352961
26,4346961.65172175,0.000502632563719589
27,4345996.45888653,0.000547099095718864
28,4344948.87727838,0.000595193340686925
29,4343812.65608105,0.00064722702120584
30,4342581.10262112,0.000703513574693729
31,4341247.09762192,0.000764373013446834
32,4339803.10457393,0.000830134570543285
33,4338842.92119749,0.000889317973666752
34,4337829.13044057,0.000934779378946542
35,4336774.96222622,0.00097142712533664
36,4335689.17493253,0.00100236611052954
37,4334577.61005024,0.00102956269773451
38,4333444.20704152,0.00105426308686447
39,4332291.66569342,0.00107725739330888
40,4331121.87754518,0.00109904623605961
41,4329936.20809414,0.0011199465147315
42,4328746.01122268,0.00114001397914363
43,4327559.01765449,0.00115884174496114
44,4326372.10172444,0.00117622778100208
45,4325183.30323491,0.00119218596313051
46,4323991.42194062,0.00120683192309698
47,4322795.75485079,0.00122031971624264
48,4321595.92544268,0.00123280806281816
49,4320391.77269082,0.00124444371580782
50,4319183.27863977,0.00125535439937672
51,4317970.52098128,0.00126564699984991
52,4316753.64192725,0.00127540844912911
53,4315532.82760486,0.00128470784617034
54,4314308.29429673,0.00129359901215062
55,4313080.2792088,0.00130212307139588
56,4311849.03424713,0.00131031081968113
57,4310614.82145847,0.00131818475848655
58,4309377.91001721,0.00132576089484147
59,4308138.5739055,0.00133305020107955
60,4306897.09016958,0.00134005981885569
61,4305653.73770971,0.00134679399372372
62,4304408.79606845,0.00135325491425939
63,4303162.54461224,0.00135944330022689
64,4301915.26179493,0.00136535890418742
65,4300667.22459032,0.00137100082668161
66,4299418.70778928,0.00137636789830981
67,4298169.98359253,0.00138145885050863
68,4296921.32116214,0.00138627248314344
69,4295672.98620769,0.00139080779086422
70,4294425.24056919,0.00139506406063694
71,4293178.34207757,0.00139904089350548
72,4291932.54400908,0.00140273830243455
