"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITC1","Piemonte","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",28859,"p","dato provvisorio"
"ITC11","Torino","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",15022,"p","dato provvisorio"
"ITC12","Vercelli","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",1065,"p","dato provvisorio"
"ITC13","Biella","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",959,"p","dato provvisorio"
"ITC14","Verbano-Cusio-Ossola","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",873,"p","dato provvisorio"
"ITC15","Novara","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",2609,"p","dato provvisorio"
"ITC16","Cuneo","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",4480,"p","dato provvisorio"
"ITC17","Asti","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",1353,"p","dato provvisorio"
"ITC18","Alessandria","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",2498,"p","dato provvisorio"
"001272","Torino","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",5844,"p","dato provvisorio"
"002158","Vercelli","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",342,"p","dato provvisorio"
"003106","Novara","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",768,"p","dato provvisorio"
"004078","Cuneo","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",398,"p","dato provvisorio"
"005005","Asti","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",490,"p","dato provvisorio"
"006003","Alessandria","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",640,"p","dato provvisorio"
"096004","Biella","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",274,"p","dato provvisorio"
"103072","Verbania","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",176,"p","dato provvisorio"
"004001","Acceglio","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",2,"p","dato provvisorio"
"006001","Acqui Terme","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",103,"p","dato provvisorio"
"005001","Agliano Terme","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",9,"p","dato provvisorio"
"001001","Agliè","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",24,"p","dato provvisorio"
"003001","Agrate Conturbia","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",6,"p","dato provvisorio"
"096001","Ailoche","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",2,"p","dato provvisorio"
"001002","Airasca","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",24,"p","dato provvisorio"
"004002","Aisone","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",0,"p","dato provvisorio"
"001003","Ala di Stura","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",2,"p","dato provvisorio"
"002002","Alagna Valsesia","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",3,"p","dato provvisorio"
"004003","Alba","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",255,"p","dato provvisorio"
"002003","Albano Vercellese","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",1,"p","dato provvisorio"
"004004","Albaretto della Torre","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",1,"p","dato provvisorio"
"006002","Albera Ligure","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",1,"p","dato provvisorio"
"001004","Albiano d'Ivrea","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",10,"p","dato provvisorio"
"005002","Albugnano","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",1,"p","dato provvisorio"
"006004","Alfiano Natta","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",3,"p","dato provvisorio"
"006005","Alice Bel Colle","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",3,"p","dato provvisorio"
"001006","Almese","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",41,"p","dato provvisorio"
"001007","Alpette","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",1,"p","dato provvisorio"
"001008","Alpignano","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",95,"p","dato provvisorio"
"006007","Altavilla Monferrato","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",2,"p","dato provvisorio"
"004005","Alto","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",3,"p","dato provvisorio"
"006008","Alzano Scrivia","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",3,"p","dato provvisorio"
"003002","Ameno","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",8,"p","dato provvisorio"
"001009","Andezeno","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",8,"p","dato provvisorio"
"096002","Andorno Micca","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",10,"p","dato provvisorio"
"001010","Andrate","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",3,"p","dato provvisorio"
"001011","Angrogna","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",0,"p","dato provvisorio"
"005003","Antignano","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",5,"p","dato provvisorio"
"103001","Antrona Schieranco","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",2,"p","dato provvisorio"
"103002","Anzola d'Ossola","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",6,"p","dato provvisorio"
"005004","Aramengo","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",4,"p","dato provvisorio"
"002006","Arborio","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",5,"p","dato provvisorio"
"004006","Argentera","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",1,"p","dato provvisorio"
"004007","Arguello","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",0,"p","dato provvisorio"
"001012","Arignano","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",4,"p","dato provvisorio"
"103003","Arizzano","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",5,"p","dato provvisorio"
"003006","Armeno","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",13,"p","dato provvisorio"
"103004","Arola","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",2,"p","dato provvisorio"
"003008","Arona","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",85,"p","dato provvisorio"
"006009","Arquata Scrivia","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",55,"p","dato provvisorio"
"002007","Asigliano Vercellese","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",8,"p","dato provvisorio"
"103005","Aurano","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",1,"p","dato provvisorio"
"001013","Avigliana","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",78,"p","dato provvisorio"
"006010","Avolasca","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",2,"p","dato provvisorio"
"001014","Azeglio","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",8,"p","dato provvisorio"
"005006","Azzano d'Asti","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",1,"p","dato provvisorio"
"103006","Baceno","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",1,"p","dato provvisorio"
"004008","Bagnasco","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",9,"p","dato provvisorio"
"004009","Bagnolo Piemonte","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",38,"p","dato provvisorio"
"001015","Bairo","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",5,"p","dato provvisorio"
"001016","Balangero","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",19,"p","dato provvisorio"
"005007","Baldichieri d'Asti","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",13,"p","dato provvisorio"
"004010","Baldissero d'Alba","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",6,"p","dato provvisorio"
"001019","Balme","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",1,"p","dato provvisorio"
"002008","Balmuccia","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",1,"p","dato provvisorio"
"002009","Balocco","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",0,"p","dato provvisorio"
"001020","Banchette","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",25,"p","dato provvisorio"
"001021","Barbania","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",11,"p","dato provvisorio"
"004011","Barbaresco","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",7,"p","dato provvisorio"
"001022","Bardonecchia","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",16,"p","dato provvisorio"
"003012","Barengo","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",6,"p","dato provvisorio"
