"day","susceptibles","percentage_infected"
1,4356406,2.38723198156322e-05
2,4356291.89510112,2.18649551669045e-05
3,4356184.18736934,2.38402762428017e-05
4,4356070.76565451,2.83854337701128e-05
5,4355943.2068415,3.48564445671902e-05
6,4355824.1049194,4.24731722704186e-05
7,4355686.38043333,5.08018374071682e-05
8,4355527.60176823,6.00541561442821e-05
9,4355344.90927805,7.04336497063071e-05
10,4355134.98853509,8.21490803280714e-05
11,4354894.0268853,9.54238680837312e-05
12,4354617.65682056,0.00011050334119196
13,4354300.88769074,0.000127660916745915
14,4353938.02706365,0.000147203823513975
15,4353522.59071977,0.000169478830090458
16,4353047.20143837,0.00019487818446551
17,4352503.47739874,0.00022384586929916
18,4351881.9066715,0.000256884440513141
19,4351171.71142017,0.000294562291792906
20,4350360.7029326,0.000337521330478484
21,4349435.11193094,0.000386485918841575
22,4348379.42942303,0.000442271064018363
23,4347176.22358016,0.000505791928531699
24,4345805.95658005,0.000578073280623525
25,4344246.80127759,0.000660258618595933
26,4342474.46334778,0.000753619042845579
27,4340462.01852422,0.00085956113750046
28,4338179.77526337,0.000979633039257982
29,4335595.17803872,0.00111552809147116
30,4332672.76916273,0.00126908498848026
31,4329374.22954126,0.00144228286815244
32,4325658.52414429,0.0016372300109645
33,4321482.18028659,0.00185614439525839
34,4316799.72974386,0.00210132383822882
35,4311564.3395924,0.00237510411914944
36,4305728.66592139,0.00267980289116218
37,4299245.95568067,0.00301764706236482
38,4292071.39242092,0.0033906832391426
39,4284163.69379721,0.00380067039689777
40,4275486.93501911,0.00424895594178702
41,4266012.52289899,0.00473633767811211
42,4255761.60948125,0.00526235373996862
43,4244756.3984447,0.00582411779892481
44,4232991.92613188,0.00641860221073168
45,4220482.02089824,0.00704256311923988
46,4207257.97760154,0.00769204907874045
47,4193367.48729672,0.0083621508633849
48,4178873.37763944,0.00904691540757203
49,4163851.919892,0.00973937891247711
50,4148390.63098699,0.0104316945777302
51,4132585.57605022,0.0111153365139385
52,4116538.29699085,0.0117813657075612
53,4100352.6298543,0.0124207266976506
54,4084131.41499122,0.0130245772672013
55,4067973.53504669,0.0135846056884519
56,4051971.35217582,0.0140933211808956
57,4036208.56025932,0.0145443176269919
58,4020758.74503111,0.0149324601472893
59,4005684.58071072,0.0152540053960385
60,3991037.4771101,0.015506670480862
61,3976857.77235291,0.0156896182594195
62,3963175.31566563,0.0158033874597556
63,3950010.33718079,0.0158497753277121
64,3937374.49148004,0.0158316785900882
65,3925272.00336705,0.0157529124428068
66,3913700.81367581,0.01561802111786
67,3902653.72282475,0.0154320773333931
68,3892119.37500363,0.015200508101526
69,3882083.23204255,0.0149289154169408
70,3872528.38699136,0.0146229271342129
71,3863436.26222657,0.0142880703618763
72,3854787.20283702,0.0139296654866241
73,3846560.92999747,0.0135527497757488
74,3838736.95547087,0.0131620099849134
75,3831294.87583989,0.0127617457938782
76,3824214.60803728,0.0123558477886001
77,3817476.56334697,0.0119477876175063
78,3811061.77192679,0.0115406202363497
79,3804951.97534209,0.0111369974127634
80,3799129.67683804,0.0107391873929321
81,3793578.17388442,0.0103490981959641
82,3788281.56967778,0.00996830560339677
83,3783224.77039329,0.00959808326197974
84,3778393.47267607,0.00923943180869464
85,3773774.14075535,0.00889310808520712
86,3769353.98081812,0.00855966180369903
87,3765120.90388523,0.00823945212152667
88,3761063.49942998,0.00793267982708987
89,3757170.99909063,0.00763940901266986
90,3753433.23857752,0.00735958757538911
91,3749840.62824133,0.00709306977718604
