"day","susceptibles","percentage_infected"
1,4356406,2.38723198156322e-05
2,4356291.89510112,2.18649551669045e-05
3,4356184.18736934,2.38402762428017e-05
4,4356070.76565451,2.83854337701128e-05
5,4355943.20682476,3.48564445443068e-05
6,4355839.40395381,4.21776431612132e-05
7,4355720.8020365,4.96820663457853e-05
8,4355586.43036183,5.76209322939677e-05
9,4355434.91098533,6.61856613656163e-05
10,4355264.53138953,7.55370314595433e-05
11,4355073.27701812,8.58227087974487e-05
12,4354858.8392181,9.71881083392492e-05
13,4354618.60752756,0.000109783418901142
14,4354349.65144226,0.000123768449598114
15,4354048.69486258,0.00013931625531862
16,4353712.08490647,0.000156616098611435
17,4353335.7554311,0.000175876133153976
18,4352915.18677141,0.000197325900227394
19,4352445.36130634,0.000221218847410053
20,4351920.71498974,0.000247834898352388
21,4351335.08630664,0.000277483053935045
22,4350681.66124719,0.000310504140756367
23,4349952.91222512,0.000347273769120366
24,4349140.54142229,0.000388204985797786
25,4348235.41596573,0.000433751351643478
26,4347227.50445953,0.000484409846208404
27,4346105.81355361,0.000540723602934759
28,4344858.3263896,0.00060328455054362
29,4343471.94480572,0.000672735711708115
30,4341932.43784706,0.000749772993235985
31,4340224.39991906,0.000835146364555332
32,4338331.22191806,0.000929660114490951
33,4336235.0805379,0.00103417192743124
34,4333916.94991971,0.00114959052573697
35,4331356.64355321,0.00127687132823282
36,4328532.88483628,0.00141701034377037
37,4325423.43055127,0.00157103482501538
38,4322005.23697214,0.00173999088859981
39,4318254.67856509,0.00192492764178762
40,4314147.83585804,0.00212687738483127
41,4309660.84962453,0.00234683221562552
42,4304791.96514807,0.0025854122401069
43,4299535.47328013,0.00284227920402516
44,4293865.99070526,0.00311737739260909
45,4287762.8075295,0.00341091447796137
46,4281209.44607217,0.00372309614800555
47,4274193.65955742,0.00405396387833089
48,4266707.67457623,0.004403290392461
49,4258748.55177937,0.00477050922215833
50,4250318.57556078,0.00515466604773147
51,4241425.60215771,0.00555438608606849
52,4232083.31364432,0.00596785541106657
53,4222311.34115863,0.006392816412355
54,4212135.21920782,0.00682657837677664
55,4201586.15216168,0.00726604371830094
56,4190700.59184989,0.00770775166556247
57,4179519.63270187,0.00814793748240945
58,4168088.22788248,0.00858260807260955
59,4156454.27855889,0.00900763068905428
60,4144667.64024226,0.00941882932262472
61,4132779.04270132,0.00981209158525452
62,4120839.15312622,0.0101834621750409
63,4108897.3744643,0.0105292646475257
64,4097001.10109186,0.0108461779213224
65,4085194.90305377,0.0111313188315466
66,4073519.8712523,0.0113823065593088
67,4062013.14237787,0.011597307271252
68,4050707.59342539,0.0117750617539427
69,4039631.68330229,0.0119148882057827
70,4028809.4237345,0.0120166710387557
71,4018260.47704248,0.0120808335313316
72,4008000.35096698,0.012108293598611
73,3998040.66591502,0.0121004111176052
74,3988389.4794544,0.0120589258609593
75,3979051.64297104,0.0119858913118951
76,3970029.14172866,0.0118836125807929
77,3961321.4827858,0.0117545760631877
78,3952926.09031199,0.0116013788054966
79,3944838.56763167,0.0114266840584904
80,3937053.04770634,0.0112331615827367
81,3929562.47250361,0.0110234445312036
82,3922358.84667937,0.0108000902542033
83,3915433.45513725,0.0105655463482676
84,3908777.05751645,0.0103221288019082
85,3902380.05328963,0.0100720043148455
86,3896232.62390009,0.00981717509800299
87,3890324.8517373,0.00955947276666947
88,3884646.81704826,0.0093005557671697
89,3879188.67636406,0.00904190976092901
90,3873940.72678432,0.0087848516692031
91,3868893.45620998,0.00853053593283464
